,gene_id,gene_name,gene_ontology
145,b2552,hmp,hydroperoxide reductase activity
146,b2552,hmp,fatty acid binding
147,b2552,hmp,FAD binding
148,b2552,hmp,FAD binding
149,b2552,hmp,response to nitrosative stress
150,b2552,hmp,response to nitrosative stress
151,b2552,hmp,response to nitrosative stress
152,b2552,hmp,response to nitrosative stress
153,b2552,hmp,oxidation-reduction process
154,b2552,hmp,oxidation-reduction process
155,b2552,hmp,heme binding
156,b2552,hmp,heme binding
157,b2552,hmp,heme binding
158,b2552,hmp,oxygen transport
159,b2552,hmp,oxygen transport
160,b2552,hmp,response to toxic substance
161,b2552,hmp,cytoplasm
162,b2552,hmp,cytoplasm
163,b2552,hmp,oxygen carrier activity
164,b2552,hmp,oxygen carrier activity
165,b2552,hmp,nitric oxide dioxygenase activity
166,b2552,hmp,nitric oxide dioxygenase activity
167,b2552,hmp,nitric oxide dioxygenase activity
168,b2552,hmp,nitric oxide dioxygenase activity
169,b2552,hmp,nitric oxide dioxygenase activity
170,b2552,hmp,cellular response to nitrosative stress
171,b2552,hmp,nitric oxide catabolic process
172,b2552,hmp,nitric oxide dioxygenase activity
173,b2552,hmp,FAD binding
174,b3652,recG,protein binding
175,b3652,recG,response to radiation
176,b3652,recG,hydrolase activity
177,b3652,recG,helicase activity
178,b3652,recG,nucleic acid binding
179,b3652,recG,cytosol
180,b3652,recG,DNA duplex unwinding
181,b3652,recG,Holliday junction helicase complex
182,b3652,recG,cellular response to DNA damage stimulus
183,b3652,recG,DNA recombination
184,b3652,recG,DNA recombination
185,b3652,recG,DNA repair
186,b3652,recG,DNA repair
187,b3652,recG,ATP binding
188,b3652,recG,ATP binding
189,b3652,recG,DNA helicase activity
190,b3652,recG,DNA helicase activity
191,b3652,recG,DNA helicase activity
192,b3652,recG,DNA binding
193,b3652,recG,nucleotide binding
194,b3652,recG,DNA repair
195,b3652,recG,DNA helicase activity
196,b1856,mepM,septum digestion after cytokinesis
197,b1856,mepM,septum digestion after cytokinesis
198,b1856,mepM,cell wall organization
199,b1856,mepM,capsule polysaccharide biosynthetic process
200,b1856,mepM,endopeptidase activity
201,b1856,mepM,integral component of plasma membrane
202,b1856,mepM,metalloendopeptidase activity
203,b1856,mepM,peptidoglycan metabolic process
204,b1856,mepM,peptidoglycan metabolic process
205,b1856,mepM,membrane
206,b1856,mepM,integral component of membrane
207,b1856,mepM,plasma membrane
208,b1856,mepM,plasma membrane
209,b1856,mepM,plasma membrane
210,b1856,mepM,metal ion binding
211,b1856,mepM,hydrolase activity
212,b1856,mepM,metallopeptidase activity
213,b1856,mepM,peptidase activity
214,b1856,mepM,proteolysis
215,b1856,mepM,metalloendopeptidase activity
216,b1856,mepM,septum digestion after cytokinesis
217,b3186,rplU,cytosol
218,b3186,rplU,translation
219,b3186,rplU,translation
220,b3186,rplU,structural constituent of ribosome
221,b3186,rplU,cytosolic large ribosomal subunit
222,b3186,rplU,rRNA binding
223,b3186,rplU,rRNA binding
224,b3186,rplU,ribosome
225,b3186,rplU,ribosome
226,b3186,rplU,RNA binding
227,b3186,rplU,RNA binding
228,b3186,rplU,structural constituent of ribosome
229,b1688,ydiK,plasma membrane
230,b1688,ydiK,plasma membrane
231,b1688,ydiK,plasma membrane
232,b1688,ydiK,plasma membrane
233,b1688,ydiK,plasma membrane
234,b1688,ydiK,integral component of membrane
235,b1688,ydiK,membrane
236,b1601,tqsA,biofilm formation
237,b1601,tqsA,transport
238,b1601,tqsA,integral component of plasma membrane
239,b1601,tqsA,autoinducer AI-2 transmembrane transport
240,b1601,tqsA,efflux transmembrane transporter activity
241,b1601,tqsA,quorum sensing
242,b1601,tqsA,quorum sensing
243,b1601,tqsA,plasma membrane
244,b1601,tqsA,plasma membrane
245,b1601,tqsA,plasma membrane
246,b1601,tqsA,integral component of membrane
247,b1601,tqsA,integral component of membrane
248,b1601,tqsA,membrane
249,b1601,tqsA,transmembrane transport
250,b3294,rplQ,ribosomal large subunit assembly
251,b3294,rplQ,cytosol
252,b3294,rplQ,translation
253,b3294,rplQ,translation
254,b3294,rplQ,structural constituent of ribosome
255,b3294,rplQ,structural constituent of ribosome
256,b3294,rplQ,cytosolic large ribosomal subunit
257,b3294,rplQ,cytosolic large ribosomal subunit
258,b3294,rplQ,ribosome
259,b3294,rplQ,ribosome
260,b3294,rplQ,cytosolic large ribosomal subunit
261,b3294,rplQ,large ribosomal subunit
262,b3294,rplQ,structural constituent of ribosome
263,b1606,folM,oxidoreductase activity
264,b1606,folM,oxidoreductase activity
265,b1606,folM,dihydromonapterin reductase activity
266,b1606,folM,one-carbon metabolic process
267,b1606,folM,oxidation-reduction process
268,b1606,folM,folic acid biosynthetic process
269,b1606,folM,10-formyltetrahydrofolate biosynthetic process
270,b1606,folM,dihydrofolate reductase activity
271,b1515,lsrD,transmembrane transport
272,b1515,lsrD,transmembrane transporter activity
273,b1515,lsrD,plasma membrane
274,b1515,lsrD,plasma membrane
275,b1515,lsrD,plasma membrane
276,b1515,lsrD,plasma membrane
277,b1515,lsrD,integral component of membrane
278,b1515,lsrD,membrane
279,b1515,lsrD,membrane
280,b1515,lsrD,plasma membrane
281,b1515,lsrD,integral component of membrane
282,b0025,ribF,protein binding
283,b0025,ribF,nucleotidyltransferase activity
284,b0025,ribF,transferase activity
285,b0025,ribF,kinase activity
286,b0025,ribF,catalytic activity
287,b0025,ribF,phosphorylation
288,b0025,ribF,metabolic process
289,b0025,ribF,riboflavin biosynthetic process
290,b0025,ribF,ATP binding
291,b0025,ribF,nucleotide binding
292,b0025,ribF,riboflavin kinase activity
293,b0025,ribF,riboflavin kinase activity
294,b0025,ribF,riboflavin kinase activity
295,b0025,ribF,FMN adenylyltransferase activity
296,b0025,ribF,FMN adenylyltransferase activity
297,b0025,ribF,FMN adenylyltransferase activity
298,b0025,ribF,FMN biosynthetic process
299,b0025,ribF,FAD biosynthetic process
300,b0025,ribF,FMN biosynthetic process
301,b0025,ribF,riboflavin metabolic process
302,b0025,ribF,riboflavin kinase activity
303,b0761,modE,metal ion binding
304,b0761,modE,molybdenum ion binding
305,b0761,modE,molybdate ion transport
306,b0761,modE,DNA-binding transcription factor activity
307,b0761,modE,"regulation of transcription, DNA-templated"
308,b0761,modE,cytosol
309,b0761,modE,DNA binding
310,b0761,modE,cytoplasm
311,b0761,modE,cytoplasm
312,b4015,aceA,isocitrate lyase activity
313,b4015,aceA,cation binding
314,b4015,aceA,glyoxylate cycle
315,b4015,aceA,catalytic activity
316,b4015,aceA,metal ion binding
317,b4015,aceA,lyase activity
318,b4015,aceA,carboxylic acid metabolic process
319,b4015,aceA,tricarboxylic acid cycle
320,b4015,aceA,isocitrate lyase activity
321,b4015,aceA,isocitrate lyase activity
322,b4015,aceA,isocitrate lyase activity
323,b4015,aceA,glyoxylate cycle
324,b4015,aceA,glyoxylate cycle
325,b4015,aceA,glyoxylate cycle
326,b4015,aceA,isocitrate lyase activity
327,b0487,cueR,identical protein binding
328,b0487,cueR,identical protein binding
329,b0487,cueR,protein-DNA complex
330,b0487,cueR,protein-DNA complex
331,b0487,cueR,DNA-binding transcription activator activity
332,b0487,cueR,DNA-binding transcription activator activity
333,b0487,cueR,transcription regulatory region sequence-specific DNA binding
334,b0487,cueR,transcription regulatory region sequence-specific DNA binding
335,b0487,cueR,bacterial-type cis-regulatory region sequence-specific DNA binding
336,b0487,cueR,"positive regulation of transcription, DNA-templated"
337,b0487,cueR,"positive regulation of transcription, DNA-templated"
338,b0487,cueR,copper ion binding
339,b0487,cueR,copper ion binding
340,b0487,cueR,DNA-binding transcription factor activity
341,b0487,cueR,DNA-binding transcription factor activity
342,b0487,cueR,"regulation of transcription, DNA-templated"
343,b0487,cueR,metal ion binding
344,b0487,cueR,cytoplasm
345,b0487,cueR,cytoplasm
346,b0487,cueR,DNA binding
347,b0487,cueR,DNA binding
348,b0487,cueR,"transcription, DNA-templated"
349,b0487,cueR,"transcription, DNA-templated"
350,b0487,cueR,"transcription, DNA-templated"
351,b0487,cueR,"transcription, DNA-templated"
352,b0020,nhaR,DNA-binding transcription activator activity
353,b0020,nhaR,"positive regulation of DNA-templated transcription, initiation"
354,b0020,nhaR,DNA-binding transcription factor activity
355,b0020,nhaR,"regulation of transcription, DNA-templated"
356,b0020,nhaR,DNA binding
357,b0020,nhaR,cytoplasm
358,b0020,nhaR,cytoplasm
359,b0020,nhaR,"regulation of DNA-templated transcription, initiation"
360,b0020,nhaR,DNA-binding transcription factor activity
361,b3182,dacB,serine-type D-Ala-D-Ala carboxypeptidase activity
362,b3182,dacB,protein binding
363,b3182,dacB,protein binding
364,b3182,dacB,periplasmic space
365,b3182,dacB,periplasmic space
366,b3182,dacB,hydrolase activity
367,b3182,dacB,serine-type carboxypeptidase activity
368,b3182,dacB,proteolysis
369,b3182,dacB,cell division
370,b3182,dacB,endopeptidase activity
371,b3182,dacB,peptidoglycan metabolic process
372,b3182,dacB,peptidoglycan metabolic process
373,b3182,dacB,peptidoglycan catabolic process
374,b3182,dacB,peptidoglycan turnover
375,b3182,dacB,cell wall macromolecule catabolic process
376,b3182,dacB,FtsZ-dependent cytokinesis
377,b3182,dacB,carboxypeptidase activity
378,b3182,dacB,carboxypeptidase activity
379,b3182,dacB,penicillin binding
380,b3182,dacB,response to antibiotic
381,b3182,dacB,peptidoglycan biosynthetic process
382,b3182,dacB,peptidoglycan biosynthetic process
383,b3182,dacB,regulation of cell shape
384,b3182,dacB,regulation of cell shape
385,b3182,dacB,regulation of cell shape
386,b3182,dacB,regulation of cell shape
387,b3182,dacB,cell wall organization
388,b3182,dacB,cell wall organization
389,b3182,dacB,cell wall organization
390,b3182,dacB,serine-type D-Ala-D-Ala carboxypeptidase activity
391,b3182,dacB,peptidoglycan metabolic process
392,b3182,dacB,serine-type carboxypeptidase activity
393,b3182,dacB,proteolysis
394,b0010,satP,proton transmembrane transport
395,b0010,satP,symporter activity
396,b0010,satP,ion transport
397,b0010,satP,acetate transmembrane transport
398,b0010,satP,acetate transmembrane transport
399,b0010,satP,acetate:proton symporter activity
400,b0010,satP,succinate transmembrane transport
401,b0010,satP,integral component of plasma membrane
402,b0010,satP,plasma membrane
403,b0010,satP,plasma membrane
404,b0010,satP,plasma membrane
405,b0010,satP,plasma membrane
406,b0010,satP,integral component of membrane
407,b0010,satP,integral component of membrane
408,b0010,satP,membrane
409,b0010,satP,plasma membrane
410,b0010,satP,succinate transmembrane transport
411,b0010,satP,acetate:proton symporter activity
412,b0010,satP,acetate transmembrane transport
413,b2079,baeR,identical protein binding
414,b2079,baeR,identical protein binding
415,b2079,baeR,"regulation of transcription, DNA-templated"
416,b2079,baeR,DNA binding
417,b2079,baeR,DNA binding
418,b2079,baeR,cytosol
419,b2079,baeR,regulation of response to drug
420,b2079,baeR,"positive regulation of DNA-templated transcription, initiation"
421,b2079,baeR,bacterial-type cis-regulatory region sequence-specific DNA binding
422,b2079,baeR,cytoplasm
423,b2079,baeR,cytoplasm
424,b2079,baeR,phosphorelay signal transduction system
425,b2079,baeR,phosphorelay signal transduction system
426,b2079,baeR,"transcription, DNA-templated"
427,b2079,baeR,"transcription, DNA-templated"
428,b2079,baeR,cytosol
429,b2079,baeR,phosphorelay response regulator activity
430,b2079,baeR,transcription regulatory region sequence-specific DNA binding
431,b2079,baeR,protein-DNA complex
432,b2079,baeR,DNA-binding transcription activator activity
433,b2079,baeR,DNA-binding transcription factor activity
434,b1443,ydcV,transmembrane transport
435,b1443,ydcV,DNA import into cell involved in transformation
436,b1443,ydcV,plasma membrane
437,b1443,ydcV,plasma membrane
438,b1443,ydcV,plasma membrane
439,b1443,ydcV,plasma membrane
440,b1443,ydcV,integral component of membrane
441,b1443,ydcV,membrane
442,b1443,ydcV,membrane
443,b3823,rhtC,integral component of plasma membrane
444,b3823,rhtC,integral component of plasma membrane
445,b3823,rhtC,threonine transport
446,b3823,rhtC,threonine transport
447,b3823,rhtC,threonine transport
448,b3823,rhtC,threonine efflux transmembrane transporter activity
449,b3823,rhtC,threonine efflux transmembrane transporter activity
450,b3823,rhtC,threonine efflux transmembrane transporter activity
451,b3823,rhtC,amino acid transport
452,b3823,rhtC,plasma membrane
453,b3823,rhtC,plasma membrane
454,b3823,rhtC,plasma membrane
455,b3823,rhtC,integral component of membrane
456,b3823,rhtC,integral component of membrane
457,b3823,rhtC,membrane
458,b3823,rhtC,membrane
459,b3823,rhtC,amino acid transmembrane transporter activity
460,b3823,rhtC,integral component of plasma membrane
461,b3823,rhtC,amino acid transport
462,b1311,ycjO,transmembrane transport
463,b1311,ycjO,plasma membrane
464,b1311,ycjO,plasma membrane
465,b1311,ycjO,plasma membrane
466,b1311,ycjO,plasma membrane
467,b1311,ycjO,integral component of membrane
468,b1311,ycjO,membrane
469,b1311,ycjO,membrane
470,b0884,infA,rRNA binding
471,b0884,infA,rRNA binding
472,b0884,infA,protein binding
473,b0884,infA,RNA binding
474,b0884,infA,RNA binding
475,b0884,infA,cytosol
476,b0884,infA,translation
477,b0884,infA,translation initiation factor activity
478,b0884,infA,translation initiation factor activity
479,b0884,infA,translation initiation factor activity
480,b0884,infA,ribosome binding
481,b0884,infA,ribosome binding
482,b0884,infA,cytoplasm
483,b0884,infA,cytoplasm
484,b0884,infA,cytoplasm
485,b0884,infA,translational initiation
486,b0884,infA,translational initiation
487,b0884,infA,translational initiation
488,b0884,infA,cytosol
489,b0884,infA,ribosome binding
490,b3824,rhtB,integral component of plasma membrane
491,b3824,rhtB,threonine efflux transmembrane transporter activity
492,b3824,rhtB,threonine efflux transmembrane transporter activity
493,b3824,rhtB,threonine efflux transmembrane transporter activity
494,b3824,rhtB,threonine transport
495,b3824,rhtB,threonine transport
496,b3824,rhtB,threonine transport
497,b3824,rhtB,amino acid transport
498,b3824,rhtB,homoserine transport
499,b3824,rhtB,homoserine transport
500,b3824,rhtB,homoserine transport
501,b3824,rhtB,homoserine transmembrane transporter activity
502,b3824,rhtB,homoserine transmembrane transporter activity
503,b3824,rhtB,homoserine transmembrane transporter activity
504,b3824,rhtB,plasma membrane
505,b3824,rhtB,plasma membrane
506,b3824,rhtB,plasma membrane
507,b3824,rhtB,integral component of membrane
508,b3824,rhtB,integral component of membrane
509,b3824,rhtB,integral component of membrane
510,b3824,rhtB,membrane
511,b3824,rhtB,membrane
512,b3824,rhtB,homoserine transport
513,b3824,rhtB,homoserine transmembrane transporter activity
514,b3824,rhtB,amino acid transmembrane transporter activity
515,b3824,rhtB,integral component of plasma membrane
516,b3824,rhtB,amino acid transport
517,b1206,dauA,L-aspartate transmembrane transport
518,b1206,dauA,sulfate transmembrane transport
519,b1206,dauA,sulfate transmembrane transport
520,b1206,dauA,aspartate transmembrane transport
521,b1206,dauA,L-aspartate transmembrane transporter activity
522,b1206,dauA,succinate transmembrane transport
523,b1206,dauA,succinate transmembrane transporter activity
524,b1206,dauA,fumarate transport
525,b1206,dauA,fumarate transmembrane transporter activity
526,b1206,dauA,transmembrane transport
527,b1206,dauA,sulfate transmembrane transporter activity
528,b1206,dauA,sulfate transport
529,b1206,dauA,secondary active sulfate transmembrane transporter activity
530,b1206,dauA,integral component of plasma membrane
531,b1206,dauA,plasma membrane
532,b1206,dauA,plasma membrane
533,b1206,dauA,plasma membrane
534,b1206,dauA,plasma membrane
535,b1206,dauA,integral component of membrane
536,b1206,dauA,integral component of membrane
537,b1206,dauA,membrane
538,b1206,dauA,membrane
539,b1206,dauA,fumarate transmembrane transporter activity
540,b1206,dauA,L-aspartate transmembrane transport
541,b1206,dauA,fumarate transport
542,b1206,dauA,succinate transmembrane transporter activity
543,b1206,dauA,succinate transmembrane transport
544,b1206,dauA,L-aspartate transmembrane transporter activity
545,b3783,rho,cytosol
546,b3783,rho,cytosol
547,b3783,rho,identical protein binding
548,b3783,rho,identical protein binding
549,b3783,rho,identical protein binding
550,b3783,rho,protein binding
551,b3783,rho,protein binding
552,b3783,rho,protein binding
553,b3783,rho,protein binding
554,b3783,rho,protein binding
555,b3783,rho,protein binding
556,b3783,rho,protein binding
557,b3783,rho,protein binding
558,b3783,rho,protein binding
559,b3783,rho,protein binding
560,b3783,rho,protein binding
561,b3783,rho,protein binding
562,b3783,rho,protein binding
563,b3783,rho,nucleic acid binding
564,b3783,rho,RNA-dependent ATPase activity
565,b3783,rho,"DNA-templated transcription, termination"
566,b3783,rho,"DNA-templated transcription, termination"
567,b3783,rho,"DNA-templated transcription, termination"
568,b3783,rho,"DNA-templated transcription, termination"
569,b3783,rho,hydrolase activity
570,b3783,rho,ATP binding
571,b3783,rho,ATP binding
572,b3783,rho,ATP binding
573,b3783,rho,helicase activity
574,b3783,rho,helicase activity
575,b3783,rho,RNA binding
576,b3783,rho,RNA binding
577,b3783,rho,RNA binding
578,b3783,rho,RNA binding
579,b3783,rho,nucleotide binding
580,b3783,rho,"transcription, DNA-templated"
586,b3828,metR,DNA-binding transcription factor activity
587,b3828,metR,amino acid binding
588,b3828,metR,cellular amino acid biosynthetic process
589,b3828,metR,"regulation of transcription, DNA-templated"
590,b3828,metR,"regulation of transcription, DNA-templated"
591,b3828,metR,DNA binding
592,b3828,metR,DNA binding
593,b3828,metR,methionine biosynthetic process
594,b3828,metR,cytoplasm
595,b3828,metR,cytoplasm
596,b3828,metR,"regulation of transcription, DNA-templated"
597,b3828,metR,transcription regulatory region sequence-specific DNA binding
598,b2808,gcvA,"regulation of transcription, DNA-templated"
599,b2808,gcvA,response to UV
600,b2808,gcvA,DNA-binding transcription factor activity
601,b2808,gcvA,DNA-binding transcription factor activity
602,b2808,gcvA,"regulation of transcription, DNA-templated"
603,b2808,gcvA,DNA binding
604,b2808,gcvA,"transcription, DNA-templated"
605,b2808,gcvA,"transcription, DNA-templated"
606,b2808,gcvA,"transcription, DNA-templated"
607,b2808,gcvA,cytoplasm
608,b2808,gcvA,cytoplasm
609,b2808,gcvA,"transcription, DNA-templated"
610,b2808,gcvA,sequence-specific DNA binding
611,b2808,gcvA,DNA-binding transcription factor activity
612,b1275,cysB,response to X-ray
613,b1275,cysB,cytosol
614,b1275,cysB,identical protein binding
615,b1275,cysB,"regulation of transcription, DNA-templated"
616,b1275,cysB,DNA-binding transcription factor activity
617,b1275,cysB,cellular amino acid biosynthetic process
618,b1275,cysB,DNA binding
619,b1275,cysB,DNA binding
620,b1275,cysB,cysteine biosynthetic process
621,b1275,cysB,"transcription, DNA-templated"
622,b1275,cysB,cytoplasm
623,b1275,cysB,cytoplasm
624,b1275,cysB,cysteine biosynthetic process
625,b1275,cysB,"regulation of transcription, DNA-templated"
626,b1275,cysB,transcription regulatory region sequence-specific DNA binding
627,b0817,mntR,protein binding
628,b0817,mntR,protein binding
629,b0817,mntR,protein binding
630,b0817,mntR,protein binding
631,b0817,mntR,protein binding
632,b0817,mntR,transition metal ion binding
633,b0817,mntR,"regulation of transcription, DNA-templated"
634,b0817,mntR,protein dimerization activity
635,b0817,mntR,DNA binding
636,b0817,mntR,DNA binding
637,b0817,mntR,"positive regulation of DNA-templated transcription, initiation"
638,b0817,mntR,"positive regulation of DNA-templated transcription, initiation"
639,b0817,mntR,"negative regulation of transcription, DNA-templated"
640,b0817,mntR,"negative regulation of transcription, DNA-templated"
641,b0817,mntR,cytoplasm
642,b0817,mntR,cytoplasm
643,b0817,mntR,DNA-binding transcription factor activity
644,b0817,mntR,DNA-binding transcription factor activity
645,b0817,mntR,DNA-binding transcription factor activity
646,b3737,atpE,"proton-transporting ATPase activity, rotational mechanism"
647,b3737,atpE,"proton-transporting ATP synthase complex, coupling factor F(o)"
648,b3737,atpE,proton transmembrane transport
649,b3737,atpE,"proton-transporting two-sector ATPase complex, proton-transporting domain"
650,b3737,atpE,membrane
651,b3737,atpE,proton transmembrane transporter activity
652,b3737,atpE,ATP synthesis coupled proton transport
653,b3737,atpE,ATP synthesis coupled proton transport
654,b3737,atpE,ion transport
655,b3737,atpE,ATP biosynthetic process
656,b3737,atpE,plasma membrane
657,b3737,atpE,plasma membrane
658,b3737,atpE,plasma membrane
659,b3737,atpE,plasma membrane
660,b3737,atpE,"proton-transporting ATP synthase complex, coupling factor F(o)"
661,b3737,atpE,"proton-transporting ATP synthase complex, coupling factor F(o)"
662,b3737,atpE,integral component of membrane
663,b3737,atpE,lipid binding
664,b3737,atpE,"proton-transporting ATPase activity, rotational mechanism"
665,b3737,atpE,"proton-transporting ATP synthase activity, rotational mechanism"
666,b3737,atpE,"proton-transporting ATP synthase activity, rotational mechanism"
667,b3737,atpE,"proton-transporting ATP synthase complex, coupling factor F(o)"
668,b3737,atpE,"proton-transporting ATP synthase activity, rotational mechanism"
669,b3737,atpE,ATP synthesis coupled proton transport
670,b1924,fliD,bacterial-type flagellum filament cap
671,b1924,fliD,bacterial-type flagellum-dependent cell motility
672,b1924,fliD,bacterial-type flagellum-dependent cell motility
673,b1924,fliD,protein binding
674,b1924,fliD,protein binding
675,b1924,fliD,bacterial-type flagellum hook
676,b1924,fliD,cell adhesion
677,b1924,fliD,extracellular region
678,b1924,fliD,extracellular region
679,b1924,fliD,bacterial-type flagellum
680,b1924,fliD,bacterial-type flagellum
681,b1924,fliD,bacterial-type flagellum
682,b1924,fliD,bacterial-type flagellum filament cap
683,b1924,fliD,bacterial-type flagellum-dependent cell motility
684,b4322,uxuA,cellular response to DNA damage stimulus
685,b4322,uxuA,lyase activity
686,b4322,uxuA,glucuronate catabolic process
687,b4322,uxuA,manganese ion binding
688,b4322,uxuA,ferrous iron binding
689,b4322,uxuA,ferrous iron binding
690,b4322,uxuA,D-glucuronate catabolic process
691,b4322,uxuA,D-glucuronate catabolic process
