precise_ID,sample_id,study,project,condition,rep_id,Biological Replicates,run_date,Strain Description,Strain,Base Media,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Temperature (C),pH,Antibiotic for selection,Culture Type,Time in phase [h],Growth Rate (1/hr),CTR [mol/h],D-glucose consumed [cmol],OD [-],base volume [ml],citrate [mmol/L],pyruvate [mmol/L],succinate [mmol/L],formate [mmol/L],lactate [mmol/L],ethanol [mmol/L],Evolved Sample,Isolate Type,Sequencing Machine,Additional Details,DOI,GEO,Published,SRX,Run,LibraryLayout,Platform,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_replicate_correlations
ecoli_00011,acid__wt_ph5__1,Acid,acid,wt_ph5,1,2,15/07/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,,Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms8970,GSE66482,1,SRX895926,SRR1824557,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,acid:wt_ph5,TRUE
ecoli_00012,acid__wt_ph5__2,Acid,acid,wt_ph5,2,2,15/07/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,,Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms8970,GSE66482,1,SRX895927,SRR1824558,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,acid:wt_ph5,TRUE
ecoli_00015,acid__delgadw_ph5__1,Acid,acid,delgadw_ph5,1,2,16/07/2014,Escherichia coli K-12 MG1655 del_gadW,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,Kanamycin (50 ug/mL),Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms8970,GSE66482,1,SRX895930,SRR1824561,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,acid:delgadw_ph5,TRUE
ecoli_00016,acid__delgadw_ph5__2,Acid,acid,delgadw_ph5,2,2,16/07/2014,Escherichia coli K-12 MG1655 del_gadW,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,Kanamycin (50 ug/mL),Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms8970,GSE66482,1,SRX895931,SRR1824562,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,acid:delgadw_ph5,TRUE
ecoli_00017,acid__delgade_ph5__1,Acid,acid,delgade_ph5,1,2,16/07/2014,Escherichia coli K-12 MG1655 del_gadE,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,Kanamycin (50 ug/mL),Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms8970,GSE66482,1,SRX895928,SRR1824559,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,acid:delgade_ph5,TRUE
ecoli_00018,acid__delgade_ph5__2,Acid,acid,delgade_ph5,2,2,16/07/2014,Escherichia coli K-12 MG1655 del_gadE,MG1655,M9,glucose(2),NH4Cl(1),O2,,,37,5.5,Kanamycin (50 ug/mL),Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms8970,GSE66482,1,SRX895929,SRR1824560,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,acid:delgade_ph5,TRUE
ecoli_00019,oxidative__wt_pq__1,Oxidative,oxidative,wt_pq,1,2,27/08/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,,Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,1,SRX871628,SRR1796598,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxidative:wt_pq,TRUE
ecoli_00020,oxidative__wt_pq__2,Oxidative,oxidative,wt_pq,2,2,27/08/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,,Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,1,SRX871629,SRR1796599,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxidative:wt_pq,TRUE
ecoli_00021,oxidative__deloxyr_pq__1,Oxidative,oxidative,deloxyr_pq,1,2,04/09/2014,Escherichia coli K-12 MG1655 del_oxyR,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin (50 ug/mL),Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,1,SRX871630,SRR1796600,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxidative:deloxyr_pq,TRUE
ecoli_00022,oxidative__deloxyr_pq__2,Oxidative,oxidative,deloxyr_pq,2,2,04/09/2014,Escherichia coli K-12 MG1655 del_oxyR,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin (50 ug/mL),Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,1,SRX871631,SRR1796601,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxidative:deloxyr_pq,TRUE
ecoli_00023,oxidative__delsoxr_pq__1,Oxidative,oxidative,delsoxr_pq,1,2,04/09/2014,Escherichia coli K-12 MG1655 del_soxR,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin (50 ug/mL),Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,1,SRX871632,SRR1796602,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxidative:delsoxr_pq,TRUE
ecoli_00024,oxidative__delsoxr_pq__2,Oxidative,oxidative,delsoxr_pq,2,2,04/09/2014,Escherichia coli K-12 MG1655 del_soxR,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin (50 ug/mL),Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,1,SRX871633,SRR1796603,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxidative:delsoxr_pq,TRUE
ecoli_00025,oxidative__delsoxs_pq__1,Oxidative,oxidative,delsoxs_pq,1,2,18/09/2014,Escherichia coli K-12 MG1655 del_soxS,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin (50 ug/mL),Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,1,SRX871634,SRR1796604,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxidative:delsoxs_pq,TRUE
ecoli_00026,oxidative__delsoxs_pq__2,Oxidative,oxidative,delsoxs_pq,2,2,18/09/2014,Escherichia coli K-12 MG1655 del_soxS,MG1655,M9,glucose(2),NH4Cl(1),O2,,PQ (250uM),37,7,Kanamycin (50 ug/mL),Batch,,0,,,,,,,,,,,No,,MiSeq,,doi.org/10.1016/j.celrep.2015.07.043,GSE65711,1,SRX871635,SRR1796605,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,oxidative:delsoxs_pq,TRUE
ecoli_00027,nac_ntrc__wt_csn__1,Nac/NtrC,nac_ntrc,wt_csn,1,2,18/04/2013,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),cytosine(2),O2,,,37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:wt_csn,TRUE
ecoli_00028,nac_ntrc__wt_csn__2,Nac/NtrC,nac_ntrc,wt_csn,2,2,18/04/2013,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),cytosine(2),O2,,,37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:wt_csn,TRUE
ecoli_00029,nac_ntrc__wt_cytd__1,Nac/NtrC,nac_ntrc,wt_cytd,1,2,17/04/2013,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),cytidine(2),O2,,,37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:wt_cytd,TRUE
ecoli_00030,nac_ntrc__wt_cytd__2,Nac/NtrC,nac_ntrc,wt_cytd,2,2,17/04/2013,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),cytidine(2),O2,,,37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:wt_cytd,TRUE
ecoli_00031,nac_ntrc__wt_gln__1,Nac/NtrC,nac_ntrc,wt_gln,1,2,17/04/2013,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),glutamine(2),O2,,,37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:wt_gln,TRUE
ecoli_00032,nac_ntrc__wt_gln__2,Nac/NtrC,nac_ntrc,wt_gln,2,2,17/04/2013,Escherichia coli K-12 MG1655,MG1655,W2,glucose(2),glutamine(2),O2,,,37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:wt_gln,TRUE
ecoli_00033,nac_ntrc__bw_delnac_csn__1,Nac/NtrC,nac_ntrc,bw_delnac_csn,1,2,16/02/2016,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),cytosine(2),O2,,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:bw_delnac_csn,TRUE
ecoli_00034,nac_ntrc__bw_delnac_csn__2,Nac/NtrC,nac_ntrc,bw_delnac_csn,2,2,16/02/2016,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),cytosine(2),O2,,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:bw_delnac_csn,TRUE
ecoli_00035,nac_ntrc__bw_delnac_cytd__1,Nac/NtrC,nac_ntrc,bw_delnac_cytd,1,2,16/02/2016,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),cytidine(2),O2,,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:bw_delnac_cytd,TRUE
ecoli_00036,nac_ntrc__bw_delnac_cytd__2,Nac/NtrC,nac_ntrc,bw_delnac_cytd,2,2,16/02/2016,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),cytidine(2),O2,,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:bw_delnac_cytd,TRUE
ecoli_00037,nac_ntrc__bw_delnac_gln__1,Nac/NtrC,nac_ntrc,bw_delnac_gln,1,2,16/02/2016,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),glutamine(2),O2,,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:bw_delnac_gln,TRUE
ecoli_00038,nac_ntrc__bw_delnac_gln__2,Nac/NtrC,nac_ntrc,bw_delnac_gln,2,2,16/02/2016,Escherichia coli K-12 BW25113 del_nac,BW25113,W2,glucose(2),glutamine(2),O2,,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:bw_delnac_gln,TRUE
ecoli_00039,nac_ntrc__bw_delnac_nh4__1,Nac/NtrC,nac_ntrc,bw_delnac_nh4,1,2,16/02/2016,Escherichia coli K-12 BW25113 del_nac,BW25113,M9,glucose(2),NH4Cl(1),O2,,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:bw_delnac_nh4,TRUE
ecoli_00040,nac_ntrc__bw_delnac_nh4__2,Nac/NtrC,nac_ntrc,bw_delnac_nh4,2,2,16/02/2016,Escherichia coli K-12 BW25113 del_nac,BW25113,M9,glucose(2),NH4Cl(1),O2,,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,From dissertation: https://escholarship.org/uc/item/0k4709x6,,1,,,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,nac_ntrc:bw_delnac_nh4,TRUE
ecoli_00041,misc__wt_no_te__1,Misc,misc,wt_no_te,1,2,13/03/2015,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,,GSE122211,1,SRX4985291,SRR8164476,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,misc:wt_no_te,TRUE
ecoli_00042,misc__wt_no_te__2,Misc,misc,wt_no_te,2,2,13/03/2015,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,,,37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,,GSE122211,1,SRX4985292,SRR8164477,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,misc:wt_no_te,TRUE
ecoli_00043,misc__bw_delcbl__1,Misc,misc,bw_delcbl,1,2,29/07/2015,Escherichia coli K-12 BW25113 del_cbl,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,,GSE122211,1,SRX4985293,SRR8164478,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,misc:bw_delcbl,TRUE
ecoli_00044,misc__bw_delcbl__2,Misc,misc,bw_delcbl,2,2,29/07/2015,Escherichia coli K-12 BW25113 del_cbl,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,,GSE122211,1,SRX4985294,SRR8164479,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,misc:bw_delcbl,TRUE
ecoli_00045,misc__bw_delfabr__1,Misc,misc,bw_delfabr,1,2,29/07/2015,Escherichia coli K-12 BW25113 del_fabR,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,,GSE122211,1,SRX4985295,SRR8164480,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,misc:bw_delfabr,TRUE
ecoli_00046,misc__bw_delfabr__2,Misc,misc,bw_delfabr,2,2,29/07/2015,Escherichia coli K-12 BW25113 del_fabR,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,,GSE122211,1,SRX4985296,SRR8164481,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,misc:bw_delfabr,TRUE
ecoli_00047,misc__bw_delfadr__1,Misc,misc,bw_delfadr,1,2,29/07/2015,Escherichia coli K-12 BW25113 del_fadR,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,,GSE122211,1,SRX4985297,SRR8164482,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,misc:bw_delfadr,TRUE
ecoli_00048,misc__bw_delfadr__2,Misc,misc,bw_delfadr,2,2,29/07/2015,Escherichia coli K-12 BW25113 del_fadR,BW25113,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,37,7,Kanamycin,Batch,,,,,,,,,,,,,No,,MiSeq,,,GSE122211,1,SRX4985298,SRR8164483,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,misc:bw_delfadr,TRUE
ecoli_00050,omics__wt_glu__1,Omics,omics,wt_glu,1,2,02/07/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glutamate (10mM),37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,,GSE122211,1,SRX4985299,SRR8164484,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:wt_glu,TRUE
ecoli_00051,omics__wt_glu__2,Omics,omics,wt_glu,2,2,02/07/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glutamate (10mM),37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,,GSE122211,1,SRX4985300,SRR8164485,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:wt_glu,TRUE
ecoli_00052,omics__wt_gly__1,Omics,omics,wt_gly,1,2,03/07/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glycine (10mM),37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms13091,GSE59760,1,SRX661397,SRR1525108,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:wt_gly,TRUE
ecoli_00053,omics__wt_gly__2,Omics,omics,wt_gly,2,2,03/07/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,glycine (10mM),37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms13091,GSE59760,1,SRX661398,SRR1525109,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:wt_gly,TRUE
ecoli_00054,omics__wt_thr__1,Omics,omics,wt_thr,1,2,07/07/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,threonine (10mM),37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms13091,GSE59760,1,SRX661399,SRR1525110,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:wt_thr,TRUE
ecoli_00055,omics__wt_thr__2,Omics,omics,wt_thr,2,2,07/07/2014,Escherichia coli K-12 MG1655,MG1655,M9,glucose(4),NH4Cl(1),O2,sauer trace element mixture,threonine (10mM),37,7,,Batch,,,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms13091,GSE59760,1,SRX661400,SRR1525111,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:wt_thr,TRUE
ecoli_00058,omics__bw_fum__1,Omics,omics,bw_fum,1,2,12/01/2015,Escherichia coli BW25113,BW25113,M9,fumarate(2.8),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,,0.31,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661389,SRR1525100,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_fum,TRUE
ecoli_00059,omics__bw_fum__2,Omics,omics,bw_fum,2,2,12/01/2015,Escherichia coli BW25113,BW25113,M9,fumarate(2.8),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,,0.31,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661390,SRR1525101,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_fum,TRUE
ecoli_00060,omics__bw_glc__1,Omics,omics,bw_glc,1,2,12/03/2013,Escherichia coli BW25113,BW25113,M9,glucose(5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,,0.61,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661391,SRR1525102,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_glc,TRUE
ecoli_00061,omics__bw_glc__2,Omics,omics,bw_glc,2,2,12/03/2013,Escherichia coli BW25113,BW25113,M9,glucose(5),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,,0.61,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661392,SRR1525103,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_glc,TRUE
ecoli_00062,omics__bw_pyr__1,Omics,omics,bw_pyr,1,2,12/01/2015,Escherichia coli BW25113,BW25113,M9,pyruvate(3.3),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,,0.37,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661393,SRR1525104,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_pyr,TRUE
ecoli_00063,omics__bw_pyr__2,Omics,omics,bw_pyr,2,2,12/01/2015,Escherichia coli BW25113,BW25113,M9,pyruvate(3.3),NH4Cl(1),O2,aebersold trace element mixture,"thiamine (1.4mM), FeCl3 (60uM)",37,7,,Batch,,0.37,,,,,,,,,,,No,,MiSeq,,doi.org/10.1038/ncomms13091,GSE59759,1,SRX661394,SRR1525105,PAIRED,ILLUMINA,TRUE,TRUE,TRUE,TRUE,omics:bw_pyr,TRUE
