precise_ID,sample_id,Total,Assigned,Unassigned_rRNA,Unassigned_Unmapped,Unassigned_Read_Type,Unassigned_Singleton,Unassigned_MappingQuality,Unassigned_Chimera,Unassigned_FragmentLength,Unassigned_Duplicate,Unassigned_MultiMapping,Unassigned_Secondary,Unassigned_NonSplit,Unassigned_NoFeatures,Unassigned_Overlapping_Length,Unassigned_Ambiguity,percent_assigned,reads_processed,reads_aligned,reads_aligned_percentage,not_aligned,not_aligned_percentage,Filename,File type,Encoding,Total Sequences,Sequences flagged as poor quality,Sequence length,%GC,total_deduplicated_percentage,avg_sequence_length,basic_statistics,per_base_sequence_quality,per_sequence_quality_scores,per_base_sequence_content,per_sequence_gc_content,per_base_n_content,sequence_length_distribution,sequence_duplication_levels,overrepresented_sequences,adapter_content,per_tile_sequence_quality,r_processed,r_with_adapters,r_written,bp_processed,quality_trimmed,bp_written,percent_trimmed,pe_sense,pe_antisense,failed,se_sense,se_antisense
ecoli_00011,acid__wt_ph5__1,10673671,8461693,1930,159726,0,0,0,0,10786,0,0,0,0,1343355,357848,338333,79.27631459,10673671,10513945,98.5,159726,1.5,ecoli_00011_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10673671,0,20-31,51,17.77210659,30.44493521,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,warn,10705755,1419747,10705755,331878405,6638143,323503075,2.523614033,0.0305,0.4652,0.5043,0,0
ecoli_00012,acid__wt_ph5__2,10810317,8632968,1252,130681,0,0,0,0,10009,0,0,0,0,1343100,358167,334140,79.85860174,10810317,10679636,98.79,130681,1.21,ecoli_00012_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10810317,0,20-31,53,19.01882273,30.32129826,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,10835549,1405070,10835549,335902019,6158300,328032197,2.34289214,0.0303,0.463,0.5067,0,0
ecoli_00014,acid__delgadx_ph5__2,9709633,6542009,729,1565155,0,0,0,0,6218,0,0,0,0,1123014,351594,120914,67.37648066,9709633,8144478,83.88,1565155,16.12,ecoli_00014_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9709633,0,20-31,50,15.9086449,29.9315349,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,warn,10233764,4370518,10233764,317246684,20085857,291346029,8.164200386,0.0299,0.4743,0.4959,0,0
ecoli_00015,acid__delgadw_ph5__1,10675400,8483327,2266,179822,0,0,0,0,9183,0,0,0,0,1343312,363704,293786,79.46612773,10675400,10495578,98.32,179822,1.68,ecoli_00015_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10675400,0,20-31,51,16.82935357,30.41218952,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,warn,10711415,1446643,10711415,332053865,6743989,323536231,2.565136232,0.0302,0.463,0.5068,0,0
ecoli_00016,acid__delgadw_ph5__2,8610540,6742381,816,144587,0,0,0,0,15976,0,0,0,0,1105722,415622,185436,78.30381138,8610540,8465953,98.32,144587,1.68,ecoli_00016_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8610540,0,20-31,52,22.48787667,29.8778115,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,8635899,3565929,8635899,267712869,5353680,257513460,3.809831421,0.032,0.4614,0.5066,0,0
ecoli_00017,acid__delgade_ph5__1,10980944,8703609,1068,183774,0,0,0,0,14522,0,0,0,0,1371136,365483,341352,79.2610271,10980944,10797170,98.33,183774,1.67,ecoli_00017_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10980944,0,20-31,53,20.18965242,30.29063913,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,11011905,1453377,11011905,341369055,6629177,332960940,2.463057174,0.0294,0.4648,0.5058,0,0
ecoli_00018,acid__delgade_ph5__2,9904977,7917427,2027,152833,0,0,0,0,11249,0,0,0,0,1177195,323031,321215,79.93382519,9904977,9752144,98.46,152833,1.54,ecoli_00018_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9904977,0,20-31,53,20.25417644,30.31615924,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,9930142,1287480,9930142,307834402,5735833,300528274,2.373395551,0.0287,0.4623,0.509,0,0
ecoli_00019,oxidative__wt_pq__1,7946523,6494111,985,95385,0,0,0,0,1704,0,0,0,0,1036333,199827,118178,81.72267292,7946523,7851138,98.8,95385,1.2,ecoli_00019_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7946523,0,20-76,52,20.07944774,75.21496005,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,warn,7953402,953760,7953402,601200943,737221,599286369,0.31845825,0.0137,0.4781,0.5081,0,0
ecoli_00020,oxidative__wt_pq__2,8027816,6474749,1107,107246,0,0,0,0,2512,0,0,0,0,1115570,201351,125281,80.65392879,8027816,7920570,98.66,107246,1.34,ecoli_00020_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8027816,0,20-76,52,21.28854221,75.29452394,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,warn,8039029,652122,8039029,607651741,284530,606532879,0.184128823,0.0142,0.4796,0.5062,0,0
ecoli_00021,oxidative__deloxyr_pq__1,7809038,6392583,513,143712,0,0,0,0,2167,0,0,0,0,958219,236109,75735,81.86133811,7809038,7665326,98.16,143712,1.84,ecoli_00021_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7809038,0,20-76,52,21.52429125,74.48435185,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,warn,7815384,3903394,7815384,590916050,166757,585708213,0.881315882,0.0144,0.48,0.5056,0,0
ecoli_00022,oxidative__deloxyr_pq__2,8790564,7140476,689,185595,0,0,0,0,2055,0,0,0,0,1154556,208835,98358,81.22887223,8790564,8604969,97.89,185595,2.11,ecoli_00022_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8790564,0,20-76,52,19.47797093,75.21665117,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,8797292,682029,8797292,665145182,134890,664146138,0.150199389,0.0149,0.4807,0.5044,0,0
ecoli_00023,oxidative__delsoxr_pq__1,6250510,4824834,1142,97860,0,0,0,0,2093,0,0,0,0,1081994,150753,91834,77.19104521,6250510,6152650,98.43,97860,1.57,ecoli_00023_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6250510,0,20-76,52,20.40461495,75.19698905,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,warn,6256504,492170,6256504,473059028,92270,472356750,0.148454624,0.0135,0.4858,0.5007,0,0
ecoli_00024,oxidative__delsoxr_pq__2,7164233,5536690,1554,106219,0,0,0,0,1536,0,0,0,0,1247706,173725,96803,77.28238319,7164233,7058014,98.52,106219,1.48,ecoli_00024_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7164233,0,20-76,52,19.40262441,75.30929466,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,warn,7170760,564440,7170760,542184927,122875,541362904,0.151613031,0.0139,0.4797,0.5064,0,0
ecoli_00025,oxidative__delsoxs_pq__1,8115030,6078356,3272,206831,0,0,0,0,1625,0,0,0,0,1535097,198677,91172,74.90244645,8115030,7908199,97.45,206831,2.55,ecoli_00025_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8115030,0,20-76,52,17.84786144,75.30989165,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,warn,8126768,637284,8126768,614425064,154465,613415464,0.164316214,0.015,0.4978,0.4871,0,0
ecoli_00026,oxidative__delsoxs_pq__2,5845829,4415189,1190,162207,0,0,0,0,1180,0,0,0,0,1042745,141842,81476,75.52716646,5845829,5683622,97.23,162207,2.77,ecoli_00026_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5845829,0,20-76,52,21.79799962,75.19031022,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,warn,5854610,457035,5854610,442624381,123334,441878887,0.168425878,0.0152,0.4954,0.4894,0,0
ecoli_00027,nac_ntrc__wt_csn__1,8792332,5410228,352556,495093,0,0,0,0,191849,0,0,0,0,1746473,290419,305714,61.53348167,8792332,8297239,94.37,495093,5.63,ecoli_00027_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8792332,0,20-30,52,20.21758106,29.37034725,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,pass,8879503,2236696,8879503,275264593,10358213,261776711,4.899969826,0.0347,0.4839,0.4814,0,0
ecoli_00028,nac_ntrc__wt_csn__2,8452621,5156847,556086,228719,0,0,0,0,202170,0,0,0,0,1744897,268579,295323,61.00885157,8452621,8223902,97.29,228719,2.71,ecoli_00028_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8452621,0,20-30,52,18.5839389,29.4087441,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,pass,8527195,2158860,8527195,264343045,9905182,251083439,5.016060097,0.0333,0.4712,0.4955,0,0
ecoli_00029,nac_ntrc__wt_cytd__1,6901687,4975355,1374,399717,0,0,0,0,124957,0,0,0,0,882820,254584,262880,72.08896897,6901687,6501970,94.21,399717,5.79,ecoli_00029_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6901687,0,20-30,52,23.07755368,29.42677334,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,pass,6969271,2056552,6969271,216047401,7327178,205498350,4.882748393,0.0376,0.456,0.5064,0,0
ecoli_00030,nac_ntrc__wt_cytd__2,9737032,6691168,309952,627670,0,0,0,0,180065,0,0,0,0,1208389,353285,366503,68.71876358,9737032,9109362,93.55,627670,6.45,ecoli_00030_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9737032,0,20-30,52,19.87506125,29.55195002,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,9832264,2906329,9832264,304800184,10302185,289752752,4.936818542,0.0376,0.4393,0.5231,0,0
ecoli_00031,nac_ntrc__wt_gln__1,4907936,3501280,58343,151116,0,0,0,0,111836,0,0,0,0,719831,184945,180585,71.33915357,4907936,4756820,96.92,151116,3.08,ecoli_00031_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4907936,0,20-30,52,25.56064177,29.56533072,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,4954483,1474713,4954483,153588973,5126513,146058839,4.902782962,0.0406,0.4631,0.4963,0,0
ecoli_00032,nac_ntrc__wt_gln__2,7570460,5336736,51847,352322,0,0,0,0,160530,0,0,0,0,1102021,283295,283709,70.49421039,7570460,7218138,95.35,352322,4.65,ecoli_00032_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7570460,0,20-30,51,19.83741826,29.48529667,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,pass,7648208,2282009,7648208,237094448,7900756,225554906,4.867065466,0.0402,0.4669,0.4929,0,0
ecoli_00033,nac_ntrc__bw_delnac_csn__1,10633453,6503206,13857,226542,0,0,0,0,14919,0,0,0,0,3293440,269860,311629,61.15798885,10633453,10406911,97.87,226542,2.13,ecoli_00033_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10633453,0,20-31,53,20.69646989,30.29932732,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,pass,10664383,745229,10664383,330595873,5014934,324590213,1.816616749,0.0355,0.5458,0.4187,0,0
ecoli_00034,nac_ntrc__bw_delnac_csn__2,10665690,7116316,25547,160931,0,0,0,0,5616,0,0,0,0,2867963,214778,274539,66.72157169,10665690,10504759,98.49,160931,1.51,ecoli_00034_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10665690,0,20-31,53,17.9345468,30.4532756,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,10681790,754742,10681790,331135490,4912516,325243135,1.779439286,0.039,0.5052,0.4558,0,0
ecoli_00035,nac_ntrc__bw_delnac_cytd__1,10525205,8182037,4684,170775,0,0,0,0,34042,0,0,0,0,1317247,385105,431315,77.73755476,10525205,10354430,98.38,170775,1.62,ecoli_00035_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10525205,0,20-31,52,19.82929823,30.44916199,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,10547275,780096,10547275,326965525,4837970,321106056,1.79207548,0.0339,0.4637,0.5024,0,0
ecoli_00036,nac_ntrc__bw_delnac_cytd__2,10379093,8247551,4073,193339,0,0,0,0,27169,0,0,0,0,1140187,351618,415156,79.46311879,10379093,10185754,98.14,193339,1.86,ecoli_00036_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10379093,0,20-31,53,21.70967928,30.32530569,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,pass,10402789,774742,10402789,322486459,4757952,316720376,1.788007787,0.0343,0.4557,0.51,0,0
ecoli_00037,nac_ntrc__bw_delnac_gln__1,4236426,3201416,1657,91387,0,0,0,0,16192,0,0,0,0,634989,137810,152975,75.56879313,4236426,4145039,97.84,91387,2.16,ecoli_00037_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4236426,0,20-35,52,26.73571212,34.52912903,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,pass,4261898,1171467,4261898,149166430,194230,147347636,1.219305175,0.0367,0.4712,0.4922,0,0
ecoli_00038,nac_ntrc__bw_delnac_gln__2,3954277,2966289,1707,90171,0,0,0,0,19430,0,0,0,0,600326,133138,143216,75.01469927,3954277,3864106,97.72,90171,2.28,ecoli_00038_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,3954277,0,20-35,52,27.39281666,34.5253504,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,3977165,1095997,3977165,139200775,184586,137527447,1.202096756,0.0412,0.4722,0.4866,0,0
ecoli_00039,nac_ntrc__bw_delnac_nh4__1,4208756,3180664,1122,61006,0,0,0,0,11245,0,0,0,0,618296,150940,185483,75.57254448,4208756,4147750,98.55,61006,1.45,ecoli_00039_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4208756,0,20-35,52,25.13904175,34.52277561,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,pass,4231556,1195999,4231556,148104460,193169,146294863,1.221838289,0.0522,0.4401,0.5077,0,0
ecoli_00040,nac_ntrc__bw_delnac_nh4__2,4630952,3520107,1598,71462,0,0,0,0,9440,0,0,0,0,666997,160036,201312,76.01259957,4630952,4559490,98.46,71462,1.54,ecoli_00040_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,4630952,0,20-35,52,25.85174547,34.58713241,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,pass,4656543,1450199,4656543,162979005,876737,160157409,1.731263484,0.0514,0.4383,0.5103,0,0
ecoli_00041,misc__wt_no_te__1,8197795,6652548,969,127446,0,0,0,0,36749,0,0,0,0,970096,253329,156658,81.1504557,8197795,8070349,98.45,127446,1.55,ecoli_00041_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8197795,0,21-76,52,21.35112596,75.21805632,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,warn,8206775,993442,8206775,619722573,916758,617480524,0.361782691,0.0168,0.4754,0.5078,0,0
ecoli_00042,misc__wt_no_te__2,5676095,4562570,67740,91732,0,0,0,0,40665,0,0,0,0,601815,180448,131125,80.38219938,5676095,5584363,98.38,91732,1.62,ecoli_00042_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5676095,0,20-76,52,23.82608107,75.14286001,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,5682446,689149,5682446,429222030,670303,427643513,0.367762344,0.0179,0.4566,0.5256,0,0
ecoli_00043,misc__bw_delcbl__1,7641274,6428767,495,85798,0,0,0,0,9253,0,0,0,0,807219,191784,117958,84.13213556,7641274,7555476,98.88,85798,1.12,ecoli_00043_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7641274,0,20-76,52,22.3266961,75.14859747,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,7653797,947209,7653797,578229681,800741,575841014,0.413100032,0.0134,0.4531,0.5335,0,0
ecoli_00044,misc__bw_delcbl__2,9464911,7913788,671,111203,0,0,0,0,16741,0,0,0,0,1016889,245356,160263,83.61185858,9464911,9353708,98.83,111203,1.17,ecoli_00044_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9464911,0,20-76,52,17.00728653,75.25013621,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,warn,9484300,1184398,9484300,716552285,981053,713319749,0.451123535,0.0148,0.4581,0.5271,0,0
ecoli_00045,misc__bw_delfabr__1,6654064,5595003,526,90454,0,0,0,0,8865,0,0,0,0,668654,172676,117886,84.08399739,6654064,6563610,98.64,90454,1.36,ecoli_00045_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6654064,0,20-76,52,21.96551178,75.2417467,pass,pass,pass,fail,warn,pass,warn,fail,fail,pass,warn,6661396,830257,6661396,503346296,628528,501438916,0.37893991,0.0143,0.4466,0.539,0,0
ecoli_00046,misc__bw_delfabr__2,6597143,5537000,687,95997,0,0,0,0,8508,0,0,0,0,667638,171905,115408,83.93027103,6597143,6501146,98.54,95997,1.46,ecoli_00046_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6597143,0,20-76,52,24.07156342,75.15664766,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,6603058,819545,6603058,499002395,658827,497157624,0.369691813,0.014,0.4486,0.5374,0,0
ecoli_00047,misc__bw_delfadr__1,5195242,4348999,180,76509,0,0,0,0,7935,0,0,0,0,534565,136764,90290,83.71119189,5195242,5118733,98.53,76509,1.47,ecoli_00047_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,5195242,0,20-76,52,27.75825484,75.1572562,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,5200630,641336,5200630,392982390,510337,391507295,0.375359059,0.0149,0.4635,0.5216,0,0
ecoli_00048,misc__bw_delfadr__2,6119800,5057220,215,93105,0,0,0,0,18728,0,0,0,0,661655,174513,114364,82.63701428,6119800,6026695,98.48,93105,1.52,ecoli_00048_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,6119800,0,20-76,52,25.52099668,75.15387954,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,6125210,754496,6125210,462867116,614365,461163443,0.368069569,0.0155,0.4636,0.5209,0,0
ecoli_00049,misc__nitr_031__1,7968852,6393013,8946,234682,0,0,0,0,18191,0,0,0,0,926455,231933,155632,80.22501861,7968852,7734170,97.06,234682,2.94,ecoli_00049_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,7968852,0,20-76,52,25.7193492,75.13530531,pass,pass,pass,fail,warn,pass,warn,fail,warn,pass,pass,7981080,1032230,7981080,603297125,1641523,600360028,0.486840875,0.0172,0.4492,0.5336,0,0
ecoli_00050,omics__wt_glu__1,8038655,6285667,452,163808,0,0,0,0,38765,0,0,0,0,959901,334957,255105,78.19301861,8038655,7874847,97.96,163808,2.04,ecoli_00050_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,8038655,0,20-31,51,14.84455603,30.44937629,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,warn,8100145,1077387,8100145,251104495,5735222,244054432,2.807621186,0.0411,0.4528,0.5061,0,0
ecoli_00051,omics__wt_glu__2,9151866,7110322,2252,102408,0,0,0,0,41814,0,0,0,0,1227600,373942,293528,77.69259296,9151866,9049458,98.88,102408,1.12,ecoli_00051_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9151866,0,20-31,51,14.60827809,30.45083691,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,warn,9224375,1189905,9224375,285955625,5935754,278575897,2.580724894,0.0401,0.4597,0.5002,0,0
ecoli_00052,omics__wt_gly__1,9207222,6976136,928,560242,0,0,0,0,20612,0,0,0,0,1114845,308161,226298,75.76808727,9207222,8646980,93.92,560242,6.08,ecoli_00052_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9207222,0,20-31,53,37.01963767,30.02092825,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,9351020,1363381,9351020,289881620,10089377,278082307,4.070390182,0.0338,0.437,0.5292,0,0
ecoli_00053,omics__wt_gly__2,10114106,7085412,916,1362757,0,0,0,0,16813,0,0,0,0,1105725,331047,211436,70.05475323,10114106,8751349,86.53,1362757,13.47,ecoli_00053_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,10114106,0,20-31,53,54.18130684,29.68206364,pass,pass,pass,fail,pass,pass,warn,warn,pass,pass,warn,10429535,1741730,10429535,323315585,17503453,303602948,6.097026532,0.0335,0.4388,0.5277,0,0
ecoli_00054,omics__wt_thr__1,9372620,7096003,3619,132013,0,0,0,0,52580,0,0,0,0,1474690,369053,244662,75.70991889,9372620,9240607,98.59,132013,1.41,ecoli_00054_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,9372620,0,20-31,51,19.12336576,30.39731964,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,warn,9437466,1229923,9437466,292561446,6114984,284946444,2.602872697,0.053,0.4575,0.4895,0,0
ecoli_00055,omics__wt_thr__2,12087986,8870235,2177,681262,0,0,0,0,54556,0,0,0,0,1721962,474526,283268,73.38058631,12087986,11406724,94.36,681262,5.64,ecoli_00055_val_1.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12087986,0,20-31,51,15.66447256,30.40400676,pass,pass,pass,fail,pass,pass,warn,fail,fail,pass,warn,12238795,1813248,12238795,379402645,12089856,365063438,3.77941672,0.0467,0.4681,0.4851,0,0
ecoli_00058,omics__bw_fum__1,12026107,7231695,14208,121358,0,0,0,0,529508,0,0,0,0,3573721,339762,215855,60.13329999,12026107,11904749,98.99,121358,1.01,ecoli_00058_val_2.fq.gz,Conventional base calls,Sanger / Illumina 1.9,12026107,0,20-30,53,14.98794162,29.41879879,pass,pass,pass,fail,pass,pass,warn,fail,warn,pass,warn,12127390,3605034,12127390,375949090,16458622,355019317,5.56718278,0.0363,0.498,0.4657,0,0
